order,container,ship,workcode,state,year,voyage,block1,bay1,row1,tier1,block2,bay2,row2,tier2,truck_num,full_or_empty,container_size,crane,time_end
16,HZAM4974316,TWYM,TS,change,2023,5,7B,31,8,2,7B,31,7,5,999,F,45,252,2023-03-26 08:37:35
17,RKOV9785255,YOSU,TS,change,2023,7,8B,23,9,5,8B,23,7,5,999,F,45,256,2023-03-26 08:38:05
18,JCRB4368064,RZSG,VU,load,2023,19,7D,18,0,0,7D,18,2,1,311,F,22,254,2023-03-26 08:40:12
19,YNXF6746865,YOSU,TS,change,2023,7,8B,23,9,4,8B,23,3,5,999,F,45,256,2023-03-26 08:40:15
20,EXQN2944225,UXAF,VU,load,2023,5,8A,27,0,0,8A,27,4,5,398,F,45,255,2023-03-26 08:38:24
21,YDSU6825249,RZSG,VU,load,2023,19,7D,17,0,0,7D,17,2,1,311,F,22,254,2023-03-26 08:41:27
22,PKCD9187321,UXAF,VU,load,2023,5,7D,17,0,0,7D,17,2,2,343,F,22,254,2023-03-26 08:41:13
23,JCST2425986,UXAF,VU,load,2023,5,7D,18,0,0,7D,18,2,2,343,F,22,254,2023-03-26 08:43:03
24,GQEM3444281,GNOR,TS,change,2023,6,8C,25,1,1,8C,26,7,4,999,F,22,257,2023-03-26 08:41:05
25,FEHE5419011,TPCT,GD,unload,2023,12,8B,23,9,3,8B,23,0,0,999,F,45,256,2023-03-26 08:41:53
26,FUDS2212234,UXAF,VU,load,2023,5,7D,17,0,0,7D,17,2,3,388,F,22,254,2023-03-26 08:43:44
27,MKIJ3161292,UXAF,VU,load,2023,5,7D,18,0,0,7D,18,2,3,388,F,22,254,2023-03-26 08:46:56
28,MJYS8403956,TWYM,TS,change,2023,5,8C,27,1,1,8C,27,8,1,999,F,22,257,2023-03-26 08:43:56
29,RHLZ0198212,SSFG,TS,change,2023,13,7B,11,9,4,7B,11,3,3,999,F,45,252,2023-03-26 08:53:20
30,CYHI3383903,UXAF,VU,load,2023,5,7D,17,0,0,7D,17,3,4,396,F,22,254,2023-03-26 08:45:32
31,WPHF7755047,UXAF,VU,load,2023,5,8A,27,0,0,8A,27,3,5,398,F,45,255,2023-03-26 08:46:20
32,LANX6054773,UXAF,VU,load,2023,5,7D,18,0,0,7D,18,3,4,396,F,22,254,2023-03-26 08:46:45
33,RPNI2307123,UXAF,VU,load,2023,5,8D,1,0,0,8D,1,6,3,393,F,22,258,2023-03-26 08:48:05
34,NXFT0823804,UXAF,VU,load,2023,5,8D,2,0,0,8D,2,6,3,393,F,22,258,2023-03-26 08:46:16
35,QHWA1096205,ODLQ,GD,unload,2023,19,7A,17,2,4,7A,17,0,0,999,F,45,251,2023-03-26 08:46:09
36,CKYS8829391,TPCT,GD,unload,2023,12,8B,21,5,3,8B,21,0,0,999,F,45,256,2023-03-26 08:46:45
37,WOSD3968081,ODLQ,GD,unload,2023,19,7B,9,2,4,7B,9,0,0,999,F,45,252,2023-03-26 08:49:20
38,SGQS7636578,TDJI,GD,unload,2023,6,8C,33,5,1,8C,33,0,0,999,F,22,257,2023-03-26 08:50:09
39,STNZ1836368,GNOR,GD,unload,2023,6,7D,11,2,3,7D,11,0,0,999,F,22,254,2023-03-26 08:51:18
40,CBLP2742438,UXAF,VU,load,2023,5,8D,1,0,0,8D,1,4,2,344,F,22,258,2023-03-26 08:49:24
41,VATC9063315,UXAF,VU,load,2023,5,8D,2,0,0,8D,2,4,2,344,F,22,258,2023-03-26 08:50:29
42,NOPO7186979,RZSG,VU,load,2023,19,8A,19,0,0,8A,19,5,5,331,F,45,255,2023-03-26 08:52:08
43,LMQV3685464,UXAF,VU,load,2023,5,8C,32,0,0,8C,32,8,3,355,F,22,257,2023-03-26 08:50:50
44,HOPB5543670,ESQU,TS,change,2023,11,8B,9,6,5,8B,9,7,1,999,F,45,256,2023-03-26 08:52:24
45,GNXP5807914,UXAF,VU,load,2023,5,8D,1,0,0,8D,1,4,3,343,F,22,258,2023-03-26 08:52:29
46,SJME6157081,UXAF,VU,load,2023,5,8D,2,0,0,8D,2,4,3,343,F,22,258,2023-03-26 08:56:04
47,LSKM1263160,GNOR,GD,unload,2023,6,7D,30,6,3,7D,30,0,0,999,F,22,254,2023-03-26 08:55:46
48,JELT1180871,ODLQ,TS,change,2023,19,8A,25,3,5,8A,25,8,4,999,F,45,255,2023-03-26 08:54:59
49,CNPX3679714,UXAF,TS,change,2023,5,7B,33,6,2,7B,33,3,2,999,F,45,252,2023-03-26 08:53:13
50,YTXU5055077,UXAF,VU,load,2023,5,8C,25,0,0,8C,25,2,1,388,F,22,257,2023-03-26 08:55:54
51,EMAA9297764,UXAF,VU,load,2023,5,8C,24,0,0,8C,24,2,1,388,F,22,257,2023-03-26 08:55:46
52,PQSN8358922,RZSG,VU,load,2023,19,7D,30,0,0,7D,30,8,1,351,F,22,254,2023-03-26 08:54:59
53,EXBG9207497,RZSG,VU,load,2023,19,7A,17,0,0,7A,17,9,4,331,F,45,251,2023-03-26 08:58:47
54,BOGO5290726,UXAF,VU,load,2023,5,7D,30,0,0,7D,30,8,2,397,F,22,254,2023-03-26 08:57:45
55,GZGA4896770,RZSG,VU,load,2023,19,8D,1,0,0,8D,1,3,2,350,F,22,258,2023-03-26 08:58:35
56,WTQW9246155,RZSG,VU,load,2023,19,8D,2,0,0,8D,2,3,2,350,F,22,258,2023-03-26 08:58:55
57,FMTN5933816,TPCT,GD,unload,2023,12,7B,31,8,1,7B,31,0,0,999,F,45,252,2023-03-26 08:58:12
58,HOBO5970323,UXAF,VU,load,2023,5,7D,30,0,0,7D,30,8,3,394,F,22,254,2023-03-26 09:00:03
59,GASM1362154,ODLQ,GD,unload,2023,19,8A,25,3,4,8A,25,0,0,999,F,45,255,2023-03-26 09:00:13
60,XDVF3653629,UXAF,VU,load,2023,5,7D,30,0,0,7D,30,7,1,398,F,22,254,2023-03-26 09:00:27
61,YSXX1174992,YOSU,TS,change,2023,7,7B,19,5,4,7B,19,3,2,999,F,45,252,2023-03-26 09:01:58
62,QGGE1797713,RZSG,VU,load,2023,19,7D,30,0,0,7D,30,7,2,346,F,22,254,2023-03-26 09:04:39
63,YMDW9297776,UXAF,VU,load,2023,5,8A,25,0,0,8A,25,3,4,393,F,45,255,2023-03-26 09:05:50
64,CLDF7498713,YOSU,TS,change,2023,7,8D,31,2,3,8D,31,1,3,999,F,22,258,2023-03-26 09:05:50
65,XBKJ8143597,RZSG,VU,load,2023,19,7D,30,0,0,7D,30,7,3,311,F,22,254,2023-03-26 09:05:13
66,SOCH5401473,YOSU,GD,unload,2023,7,8D,31,2,2,8D,31,0,0,999,F,22,258,2023-03-26 09:05:35
67,DSIZ7700686,YOSU,TS,change,2023,7,7D,25,2,3,7D,25,3,1,999,F,22,254,2023-03-26 09:09:13
68,SVOK3088794,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,5,3,343,F,45,255,2023-03-26 09:09:33
69,UYAN7683523,YOSU,GD,unload,2023,7,7D,25,2,2,7D,25,0,0,999,F,22,254,2023-03-26 09:08:15
70,OJJT4210446,RZSG,VU,load,2023,19,7B,19,0,0,7B,19,3,3,358,F,45,252,2023-03-26 09:10:42
71,KDAH8958844,UXAF,VU,load,2023,5,7A,17,0,0,7A,17,2,4,397,F,45,251,2023-03-26 09:10:38
72,ABUE3140908,MPFG,GD,unload,2023,7,8D,26,3,3,8D,26,0,0,999,F,22,258,2023-03-26 09:12:14
73,FWOA3924404,RZSG,TS,change,2023,18,7D,11,1,1,7D,11,2,3,999,F,22,254,2023-03-26 09:13:45
74,ZQZG7868975,RZSG,VU,load,2023,19,8A,15,0,0,8A,15,4,3,331,F,45,255,2023-03-26 09:14:03
75,CSKX6442788,AMXM,TS,change,2023,5,7C,23,3,2,7C,23,9,5,999,F,45,253,2023-03-26 09:20:30
76,AEXE1219485,NULK,TS,change,2023,5,7D,11,4,1,7D,11,6,3,999,F,22,254,2023-03-26 09:14:36
77,XUAE8305558,RZSG,VU,load,2023,19,7B,19,0,0,7B,19,7,4,327,F,45,252,2023-03-26 09:14:07
78,ALRF4657900,SKBN,TS,change,2023,12,7D,11,3,1,7D,11,5,3,999,F,22,254,2023-03-26 09:15:33
79,WCIE6540603,RZSG,VU,load,2023,19,8D,3,0,0,8D,3,9,3,350,F,22,258,2023-03-26 09:16:43
80,TLGL8918920,ODLQ,TS,change,2023,19,7C,23,2,4,7C,23,3,2,999,F,45,253,2023-03-26 09:16:41
81,XEUG1410579,RZSG,VU,load,2023,19,7A,17,0,0,7A,17,3,5,304,F,45,251,2023-03-26 09:17:16
82,FYCJ9827666,SSFG,TS,change,2023,13,7C,23,2,3,7C,23,3,3,999,F,45,253,2023-03-26 09:23:01
83,DHPY6163502,RZSG,VU,load,2023,19,8D,3,0,0,8D,3,7,1,350,F,22,258,2023-03-26 09:17:50
84,OBOG4127534,UXAF,VU,load,2023,5,8D,3,0,0,8D,3,7,2,387,F,22,258,2023-03-26 09:18:17
85,PAHT8235778,YOSU,TS,change,2023,7,7C,23,2,2,7C,23,3,4,999,F,45,253,2023-03-26 09:18:42
86,MUTK6206030,RZSG,VU,load,2023,19,8A,15,0,0,8A,15,3,3,331,F,45,255,2023-03-26 09:21:53
87,GVVP3283287,JTRC,GD,unload,2023,5,8B,11,8,4,8B,11,0,0,999,F,45,256,2023-03-26 09:24:03
88,ZBYF6885344,RZSG,VU,load,2023,19,7D,11,0,0,7D,11,8,3,351,F,22,254,2023-03-26 09:28:31
89,ZTJH3322810,YOSU,GD,unload,2023,7,8C,22,3,3,8C,22,0,0,999,F,22,257,2023-03-26 09:25:39
90,LZTW4925387,RZSG,VU,load,2023,19,7B,19,0,0,7B,19,4,4,304,F,45,252,2023-03-26 09:25:51
91,IOGU8668995,UXAF,VU,load,2023,5,7A,19,0,0,7A,19,5,1,387,F,45,251,2023-03-26 09:27:41
92,HETD1326269,YOSU,GD,unload,2023,7,8C,23,4,1,8C,23,0,0,999,F,22,257,2023-03-26 09:29:22
93,JMBQ0921971,RZSG,VU,load,2023,19,8A,15,0,0,8A,15,1,3,327,F,45,255,2023-03-26 09:29:24
94,AQLA4691898,RZSG,VU,load,2023,19,8B,9,0,0,8B,9,7,2,310,F,45,256,2023-03-26 09:35:22
95,SKMZ7678277,JNPN,TS,change,2023,2,8D,8,8,2,8D,8,7,2,999,F,22,258,2023-03-26 09:31:54
96,USCK6727083,MPFG,TS,change,2023,7,7B,9,1,4,7B,9,4,4,999,F,45,252,2023-03-26 09:32:11
97,NOSD5964097,OPKC,TS,change,2023,3,8B,3,5,4,8B,3,9,1,999,F,45,256,2023-03-26 09:32:20
98,JGEL8640915,PZNB,GD,unload,2023,9,8D,8,8,1,8D,8,0,0,999,F,22,258,2023-03-26 09:32:57
99,WBHX5932956,PZNB,TS,change,2023,12,7B,9,1,3,7B,9,2,4,999,F,44,252,2023-03-26 09:33:44
100,CSUQ7560514,TWYM,TS,change,2023,5,8B,3,5,3,8B,3,9,2,999,F,45,256,2023-03-26 09:34:22
101,GHZS9052660,YOSU,TS,change,2023,7,8C,4,2,1,8C,4,5,1,999,F,22,257,2023-03-26 09:33:22
102,WFLK4655368,RZSG,VU,load,2023,19,7D,11,0,0,7D,11,6,4,370,F,22,254,2023-03-26 09:35:51
103,WWNZ4732623,IYDE,TS,change,2023,2,7B,9,1,2,7B,9,4,5,999,F,45,252,2023-03-26 09:36:09
104,WWDK0770561,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,8,4,395,F,45,255,2023-03-26 09:35:54
105,MNCK1396490,LRBX,TS,change,2023,13,8D,8,6,3,8D,8,8,1,999,F,22,258,2023-03-26 09:36:52
106,SIYP9637911,XQHP,TS,change,2023,11,8B,3,5,2,8B,3,3,5,999,F,45,256,2023-03-26 09:36:12
107,NLPQ7398616,LRBX,TS,change,2023,13,8D,8,6,2,8D,8,7,3,999,F,22,258,2023-03-26 09:37:19
108,ZKXE6223336,RZSG,VU,load,2023,19,7D,11,0,0,7D,11,5,4,346,F,22,254,2023-03-26 09:38:48
109,LDGQ2115533,RZSG,VU,load,2023,19,7C,23,0,0,7C,23,3,5,310,F,45,253,2023-03-26 09:39:03
110,PMFJ9541414,JTRC,GD,unload,2023,5,7A,19,3,4,7A,19,0,0,999,F,45,251,2023-03-26 09:40:04
111,VGOP6367914,CBPR,TS,change,2023,6,8C,4,8,3,8C,4,5,2,999,F,22,257,2023-03-26 09:37:37
112,VGOP6367914,CBPR,TS,change,2023,6,8C,4,5,2,8C,4,3,2,999,F,22,257,2023-03-26 09:37:46
113,HQJZ0158096,GNOR,GD,unload,2023,6,8C,4,8,2,8C,4,0,0,999,F,22,257,2023-03-26 09:37:41
114,JRPI9426566,RZSG,VU,load,2023,19,8A,15,0,0,8A,15,7,4,349,F,45,255,2023-03-26 09:41:39
115,ITSU8079598,YZCI,TS,change,2023,9,8D,8,6,1,8D,8,2,3,999,F,22,258,2023-03-26 09:44:31
116,MYQZ0745920,YOSU,TS,change,2023,7,7D,32,7,3,7D,32,6,1,999,F,22,254,2023-03-26 09:41:14
117,PJNO1233239,TWYM,GD,unload,2023,4,8D,13,6,2,8D,13,0,0,999,F,22,258,2023-03-26 09:42:03
118,YKOQ7982124,UXAF,GD,unload,2023,5,8C,10,3,3,8C,10,0,0,999,F,22,257,2023-03-26 09:42:28
119,ROBU7391624,YOSU,TS,change,2023,7,7D,32,7,2,7D,32,6,2,999,F,22,254,2023-03-26 09:41:29
120,YXZM4694081,JIAP,TS,change,2023,13,7C,9,7,5,7C,9,1,4,999,F,45,253,2023-03-26 09:42:04
121,GMJF4859758,TPCT,TS,change,2023,12,7A,7,1,3,7A,7,4,4,999,F,45,251,2023-03-26 09:44:49
122,CUXU5252232,TWYM,TS,change,2023,5,7C,9,7,4,7C,9,6,3,999,F,45,253,2023-03-26 09:46:52
123,HTPJ1539309,YOSU,GD,unload,2023,7,7D,32,7,1,7D,32,0,0,999,F,22,254,2023-03-26 09:46:09
124,TLLC6259160,YOSU,TS,change,2023,7,7D,32,4,3,7D,32,3,2,999,F,22,254,2023-03-26 09:44:52
125,XRLF2524158,YZCI,TS,change,2023,9,7A,7,1,2,7A,7,2,4,999,F,45,251,2023-03-26 09:47:39
126,CGIW0914323,SDIH,TS,change,2023,15,7C,9,7,3,7C,9,6,4,999,F,45,253,2023-03-26 09:47:10
127,XDVO4117360,TWYM,TS,change,2023,5,7D,31,4,3,7D,31,2,1,999,F,22,254,2023-03-26 09:46:53
128,OONT2907699,RMOD,TS,change,2023,4,7A,7,3,4,7A,7,1,2,999,F,45,251,2023-03-26 09:47:08
129,HNOJ1145480,VXUR,TS,change,2023,6,7C,9,7,2,7C,9,4,5,999,F,45,253,2023-03-26 09:48:05
130,EZMQ6371797,UXAF,VU,load,2023,5,8B,3,0,0,8B,3,5,2,387,F,45,256,2023-03-26 09:49:52
131,ZPPD5636333,GNOR,GD,unload,2023,6,7D,31,4,2,7D,31,0,0,999,F,22,254,2023-03-26 09:59:02
132,EGYP1914189,PNFY,TS,change,2023,10,7A,7,3,3,7A,7,8,4,999,F,45,251,2023-03-26 09:48:54
133,PSCJ4317779,JXQD,TS,change,2023,2,8D,13,9,3,8D,13,5,1,999,F,22,258,2023-03-26 09:50:26
134,SCDG0693801,IYDE,TS,change,2023,2,7C,9,7,1,7C,9,2,5,999,F,45,253,2023-03-26 09:49:55
135,GCPT0997814,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,6,4,303,F,45,255,2023-03-26 09:52:01
136,THUC7136390,RZSG,VU,load,2023,19,8D,13,0,0,8D,13,5,5,311,F,22,258,2023-03-26 09:52:10
137,PSCJ4317779,JXQD,TS,change,2023,2,8D,13,5,1,8D,13,6,5,999,F,22,258,2023-03-26 09:53:14
138,NJRA4072678,SSFG,TS,change,2023,13,7D,31,7,1,7D,31,6,3,999,F,22,254,2023-03-26 09:52:41
139,THUC7136390,RZSG,TS,change,2023,19,8D,13,5,5,8D,13,5,1,999,F,22,258,2023-03-26 09:53:31
140,EITF0443347,JKPF,TS,change,2023,7,7C,7,9,3,7C,7,3,3,999,F,45,253,2023-03-26 09:52:17
141,PSCJ4317779,JXQD,GD,unload,2023,2,8D,13,6,5,8D,13,0,0,999,F,22,258,2023-03-26 09:56:32
142,ASCN3599911,UXAF,VU,load,2023,5,7B,9,0,0,7B,9,1,2,395,F,45,252,2023-03-26 09:52:28
143,PJZI8546062,UXAF,VU,load,2023,5,8B,3,0,0,8B,3,9,3,397,F,45,256,2023-03-26 09:56:48
144,EPDF9664678,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,5,4,390,F,45,255,2023-03-26 10:01:40
145,AMJH6213835,AMXM,GD,unload,2023,5,7C,7,9,2,7C,7,0,0,999,F,45,253,2023-03-26 09:58:31
146,SYNV6223651,RZSG,VU,load,2023,19,8C,10,0,0,8C,10,3,3,350,F,22,257,2023-03-26 09:58:30
147,YWDZ7899509,HXSD,GD,unload,2023,5,7D,12,3,1,7D,12,0,0,999,F,22,254,2023-03-26 10:04:35
148,OTKD6494124,XQHP,TS,change,2023,11,7D,12,5,1,7D,12,9,2,999,F,22,254,2023-03-26 10:00:00
149,YVMC7575405,RZSG,VU,load,2023,19,8D,1,0,0,8D,1,3,3,396,F,22,258,2023-03-26 10:00:52
150,ZLCV8831766,AMXM,GD,unload,2023,5,7A,11,4,3,7A,11,0,0,999,F,45,251,2023-03-26 09:59:38
151,YJSB0403430,RZSG,VU,load,2023,19,8D,2,0,0,8D,2,3,3,396,F,22,258,2023-03-26 10:09:12
152,KUNV1708804,SLVN,TS,change,2023,13,7B,25,8,4,7B,25,3,5,999,F,45,252,2023-03-26 10:00:37
153,GIFA3698657,TWYM,TS,change,2023,5,7C,13,8,2,7C,13,1,5,999,F,45,253,2023-03-26 10:01:24
154,WXUW2389707,RZSG,VU,load,2023,19,8D,1,0,0,8D,1,1,2,331,F,22,258,2023-03-26 10:02:48
155,VWCM2461107,RZSG,VU,load,2023,19,8D,2,0,0,8D,2,1,2,331,F,22,258,2023-03-26 10:02:48
156,YZDL4448592,TWYM,TS,change,2023,5,7C,13,7,5,7C,13,8,2,999,F,45,253,2023-03-26 10:01:12
157,KUXB0810110,NJLM,TS,change,2023,29,8B,3,2,4,8B,3,5,3,999,F,45,256,2023-03-26 10:03:11
158,GJCC4106951,MDHF,TS,change,2023,15,7C,13,7,4,7C,13,8,3,999,F,45,253,2023-03-26 10:05:30
159,GNFZ2565291,UKVE,GD,unload,2023,8,7B,27,5,4,7B,27,0,0,999,F,45,252,2023-03-26 10:04:42
160,EGVC6794070,ODLQ,TS,change,2023,19,7A,15,6,5,7A,15,7,5,999,F,45,251,2023-03-26 10:03:29
161,UAJW9364877,UXAF,VU,load,2023,5,7D,11,0,0,7D,11,1,1,379,F,22,254,2023-03-26 10:03:42
162,PZGF4662281,UXAF,VU,load,2023,5,8D,1,0,0,8D,1,1,3,389,F,22,258,2023-03-26 10:05:25
163,WZHG5271680,UXAF,VU,load,2023,5,8C,5,0,0,8C,5,6,3,345,F,22,257,2023-03-26 10:06:03
164,NTSL1774240,UXAF,VU,load,2023,5,8D,2,0,0,8D,2,1,3,389,F,22,258,2023-03-26 10:07:00
165,NLUM2251839,UXAF,VU,load,2023,5,8C,4,0,0,8C,4,6,3,345,F,22,257,2023-03-26 10:08:15
166,SUDR2368493,UXAF,VU,load,2023,5,7D,11,0,0,7D,11,1,2,379,F,22,254,2023-03-26 10:07:17
167,UAJW9364877,UXAF,TS,change,2023,5,7D,11,1,1,7D,12,1,1,999,F,22,254,2023-03-26 10:05:50
168,SUDR2368493,UXAF,TS,change,2023,5,7D,11,1,2,7D,11,1,1,999,F,22,254,2023-03-26 10:05:08
169,HYAD0013820,SSFG,GD,unload,2023,13,8A,19,4,5,8A,19,0,0,999,F,45,255,2023-03-26 10:07:53
170,TBSC7273980,NULK,TS,change,2023,5,7A,15,6,4,7A,15,8,5,999,F,45,251,2023-03-26 10:06:30
171,EMEB2173296,UXAF,VU,load,2023,5,7D,11,0,0,7D,11,1,2,393,F,22,254,2023-03-26 10:06:23
172,JGSB0282133,UXAF,VU,load,2023,5,7D,12,0,0,7D,12,1,2,393,F,22,254,2023-03-26 10:07:12
173,SIYP9637911,XQHP,GD,unload,2023,11,8B,3,3,5,8B,3,0,0,999,F,45,256,2023-03-26 10:06:39
174,RDPN9684477,JTRC,TS,change,2023,5,7A,15,6,3,7A,15,3,5,999,F,45,251,2023-03-26 10:08:50
175,TPKZ0741599,SDIH,VL,unload,2023,17,7B,15,4,5,7B,15,0,0,330,F,45,252,2023-03-26 10:09:15
176,GWMK7169665,RZSG,VU,load,2023,19,7C,9,0,0,7C,9,7,1,331,F,43,253,2023-03-26 10:08:17
177,AFWT2184466,UXAF,VU,load,2023,5,8D,6,0,0,8D,6,9,2,395,F,22,258,2023-03-26 10:09:03
178,WTAF1152267,UXAF,VU,load,2023,5,8D,7,0,0,8D,7,9,2,395,F,22,258,2023-03-26 10:16:11
179,HOBY1821111,YOSU,GD,unload,2023,7,7A,15,6,2,7A,15,0,0,999,F,45,251,2023-03-26 10:12:07
180,DHGT6624984,SSFG,TS,change,2023,13,7B,15,4,4,7B,15,7,5,999,F,45,252,2023-03-26 10:11:38
181,FIUF8538429,QSAT,VL,unload,2023,20,7D,28,4,1,7D,28,0,0,385,F,22,254,2023-03-26 10:11:21
182,ZIXM9454449,ORGJ,GD,unload,2023,13,8B,3,2,3,8B,3,0,0,999,F,45,256,2023-03-26 10:13:05
183,ZRCB3254659,UXAF,VU,load,2023,5,8C,5,0,0,8C,5,7,3,397,F,22,257,2023-03-26 10:11:47
184,NXGZ5077990,QSAT,VL,unload,2023,20,8D,15,7,3,8D,15,0,0,366,F,22,258,2023-03-26 10:12:46
185,ZPWP5208297,UXAF,VU,load,2023,5,8C,4,0,0,8C,4,7,3,397,F,22,257,2023-03-26 10:12:44
186,YBYP3111724,SSFG,TS,change,2023,13,7B,15,4,3,7B,15,2,5,999,F,45,252,2023-03-26 10:12:26
187,VQPT2804405,RZSG,VU,load,2023,19,8A,19,0,0,8A,19,4,5,331,F,45,255,2023-03-26 10:13:31
188,GWQA8891325,APTB,TS,change,2023,8,7C,31,8,4,7C,31,7,2,999,F,45,253,2023-03-26 10:12:31
189,STBI3207270,UXAF,VU,load,2023,5,8C,5,0,0,8C,5,5,2,396,F,22,257,2023-03-26 10:15:37
190,AFKH4558599,UXAF,VU,load,2023,5,8C,4,0,0,8C,4,5,2,396,F,22,257,2023-03-26 10:15:11
191,AKSQ6869581,QSAT,VL,unload,2023,20,8D,27,6,2,8D,27,0,0,366,F,22,258,2023-03-26 10:13:58
192,TNUS4542992,SDIH,VL,unload,2023,17,7D,11,9,2,7D,11,0,0,315,F,22,254,2023-03-26 10:16:22
193,IBQQ7207405,RMOD,TS,change,2023,4,8B,21,7,5,8B,21,5,3,999,F,45,256,2023-03-26 10:16:36
194,FSZA0798256,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,4,4,390,F,45,255,2023-03-26 10:18:21
195,ZCRX8591114,QSAT,VL,unload,2023,20,8D,31,8,2,8D,31,0,0,301,F,22,258,2023-03-26 10:21:43
196,XLPB0199312,PZNB,GD,unload,2023,12,8B,21,8,5,8B,21,0,0,999,F,44,256,2023-03-26 10:18:01
197,EZBB5849794,YOSU,TS,change,2023,7,7D,7,8,2,7D,7,6,1,999,F,22,254,2023-03-26 10:17:48
198,OINC7083246,UXAF,VU,load,2023,5,7B,15,0,0,7B,15,5,5,379,F,45,252,2023-03-26 10:16:41
199,WDUC0469812,MDHF,TS,change,2023,15,7A,21,5,5,7A,21,7,2,999,F,45,251,2023-03-26 10:19:36
200,CDNP7586150,RZSG,VU,load,2023,19,7C,31,0,0,7C,31,7,3,311,F,45,253,2023-03-26 10:19:09
201,ZKHG4340582,UXAF,VU,load,2023,5,8A,15,0,0,8A,15,3,4,394,F,43,255,2023-03-26 10:21:04
202,GQEM3444281,GNOR,GD,unload,2023,6,8C,26,7,4,8C,26,0,0,999,F,22,257,2023-03-26 10:20:51
203,WWXE0406451,YOSU,GD,unload,2023,7,7D,7,8,1,7D,7,0,0,999,F,22,254,2023-03-26 10:20:07
204,LWRN9754265,RZSG,TS,change,2023,18,7A,21,5,4,7A,21,7,3,999,F,45,251,2023-03-26 10:19:02
205,AZJU6880975,TWYM,GD,unload,2023,5,8D,28,4,1,8D,28,0,0,999,F,22,258,2023-03-26 10:21:43
206,XYPG8953155,UXAF,VU,load,2023,5,8B,21,0,0,8B,21,5,4,397,F,45,256,2023-03-26 10:20:07
207,VMUJ9174866,RZSG,TS,change,2023,18,7A,21,5,3,7A,21,2,3,999,F,45,251,2023-03-26 10:21:53
208,OGOW5406401,UXAF,VU,load,2023,5,7B,15,0,0,7B,15,3,5,387,F,45,252,2023-03-26 10:29:17
209,UFFR0942404,UXAF,VU,load,2023,5,7D,8,0,0,7D,8,7,1,393,F,22,254,2023-03-26 10:24:35
210,UTMZ9569953,UXAF,VU,load,2023,5,7D,7,0,0,7D,7,7,1,355,F,22,254,2023-03-26 10:21:47
211,HGYF6447142,VXUR,TS,change,2023,6,7A,21,5,2,7A,21,7,4,999,F,45,251,2023-03-26 10:24:08
212,KKCL8295215,YOSU,TS,change,2023,7,8C,22,1,3,8C,22,7,1,999,F,22,257,2023-03-26 10:23:18
213,TBRT5189785,TDJI,TS,change,2023,6,7B,13,8,3,7B,13,9,2,999,F,45,252,2023-03-26 10:25:01
214,XDCC5110109,HVRS,GD,unload,2023,6,8B,9,2,5,8B,9,0,0,999,F,45,256,2023-03-26 10:23:50
215,JUQS8917064,MGBO,GD,unload,2023,4,7A,21,5,1,7A,21,0,0,999,F,45,251,2023-03-26 10:24:48
