container,ship,workcode,state,year,voyage,block1,bay1,row1,tier1,block2,bay2,row2,tier2,truck_num,full_or_empty,container_size,crane,time_end
QLRW4139458,UXAF,VU,load,2023,15,8A,25,0,0,8A,,,,393,F,45,255,2023-04-06 09:03:09
SZOL9519637,YOSU,TS,change,2023,17,8D,31,2,3,8D,,,,999,F,22,258,2023-04-06 09:04:53
XEPL3332555,RZSG,VU,load,2023,29,7D,30,0,0,7D,,,,311,F,22,254,2023-04-06 09:05:49
IBHX4202891,YOSU,GD,unload,2023,17,8D,31,2,2,8D,,,,999,F,22,258,2023-04-06 09:06:59
RSRA4079180,YOSU,TS,change,2023,17,7D,25,2,3,7D,,,,999,F,22,254,2023-04-06 09:12:33
SPQV0363873,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,343,F,45,255,2023-04-06 09:09:05
GKUJ0066532,YOSU,GD,unload,2023,17,7D,25,2,2,7D,,,,999,F,22,254,2023-04-06 09:11:46
RCMQ3448032,RZSG,VU,load,2023,29,7B,19,0,0,7B,,,,358,F,45,252,2023-04-06 09:09:09
KLPF3314305,UXAF,VU,load,2023,15,7A,17,0,0,7A,,,,397,F,45,251,2023-04-06 09:11:15
NGDQ8558640,MPFG,GD,unload,2023,17,8D,26,3,3,8D,,,,999,F,22,258,2023-04-06 09:11:05
LRMA1803576,RZSG,TS,change,2023,28,7D,11,1,1,7D,,,,999,F,22,254,2023-04-06 09:12:57
LHSU1258888,RZSG,VU,load,2023,29,8A,15,0,0,8A,,,,331,F,45,255,2023-04-06 09:13:12
LVPE4318246,AMXM,TS,change,2023,15,7C,23,3,2,7C,,,,999,F,45,253,2023-04-06 09:16:04
LDIV1923073,NULK,TS,change,2023,15,7D,11,4,1,7D,,,,999,F,22,254,2023-04-06 09:13:00
TMOF5281395,RZSG,VU,load,2023,29,7B,19,0,0,7B,,,,327,F,45,252,2023-04-06 09:14:31
UGQP6551787,SKBN,TS,change,2023,22,7D,11,3,1,7D,,,,999,F,22,254,2023-04-06 09:16:33
ZPHI8501955,RZSG,VU,load,2023,29,8D,3,0,0,8D,,,,350,F,22,258,2023-04-06 09:16:43
EWFN9113548,ODLQ,TS,change,2023,29,7C,23,2,4,7C,,,,999,F,45,253,2023-04-06 09:16:05
ZTPP9484464,RZSG,VU,load,2023,29,7A,17,0,0,7A,,,,304,F,45,251,2023-04-06 09:19:22
SZHH9981918,SSFG,TS,change,2023,23,7C,23,2,3,7C,,,,999,F,45,253,2023-04-06 09:18:46
VSUI4651005,RZSG,VU,load,2023,29,8D,3,0,0,8D,,,,350,F,22,258,2023-04-06 09:18:44
LZAC5250090,UXAF,VU,load,2023,15,8D,3,0,0,8D,,,,387,F,22,258,2023-04-06 09:19:36
NDPM5855204,YOSU,TS,change,2023,17,7C,23,2,2,7C,,,,999,F,45,253,2023-04-06 09:20:08
BSGC8710096,RZSG,VU,load,2023,29,8A,15,0,0,8A,,,,331,F,45,255,2023-04-06 09:23:57
NCKK8340783,JTRC,GD,unload,2023,15,8B,11,8,4,8B,,,,999,F,45,256,2023-04-06 09:24:51
ZWUF8585492,RZSG,VU,load,2023,29,7D,11,0,0,7D,,,,351,F,22,254,2023-04-06 09:26:53
LTVV8892884,YOSU,GD,unload,2023,17,8C,22,3,3,8C,,,,999,F,22,257,2023-04-06 09:26:09
WFDB7149702,RZSG,VU,load,2023,29,7B,19,0,0,7B,,,,304,F,45,252,2023-04-06 09:25:54
NQLD4484955,UXAF,VU,load,2023,15,7A,19,0,0,7A,,,,387,F,45,251,2023-04-06 09:26:15
MBMB3462980,YOSU,GD,unload,2023,17,8C,23,4,1,8C,,,,999,F,22,257,2023-04-06 09:29:28
SKGN1047080,RZSG,VU,load,2023,29,8A,15,0,0,8A,,,,327,F,45,255,2023-04-06 09:29:46
QTBC7733926,RZSG,VU,load,2023,29,8B,9,0,0,8B,,,,310,F,45,256,2023-04-06 09:27:56
EPIP5289665,JNPN,TS,change,2023,12,8D,8,8,2,8D,,,,999,F,22,258,2023-04-06 09:31:33
OKIQ3596512,MPFG,TS,change,2023,17,7B,9,1,4,7B,,,,999,F,45,252,2023-04-06 09:30:37
VHUK7065972,OPKC,TS,change,2023,13,8B,3,5,4,8B,,,,999,F,45,256,2023-04-06 09:32:48
IKQX2695892,PZNB,GD,unload,2023,19,8D,8,8,1,8D,,,,999,F,22,258,2023-04-06 09:33:12
NCGK6605575,PZNB,TS,change,2023,22,7B,9,1,3,7B,,,,999,F,44,252,2023-04-06 09:35:14
UJUX1717740,TWYM,TS,change,2023,15,8B,3,5,3,8B,,,,999,F,45,256,2023-04-06 09:36:13
XAXJ5858588,YOSU,TS,change,2023,17,8C,4,2,1,8C,,,,999,F,22,257,2023-04-06 09:35:01
FSRI2370503,RZSG,VU,load,2023,29,7D,11,0,0,7D,,,,370,F,22,254,2023-04-06 09:34:00
MCKU7062707,IYDE,TS,change,2023,12,7B,9,1,2,7B,,,,999,F,45,252,2023-04-06 09:41:50
QCTS4160154,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,395,F,45,255,2023-04-06 09:37:08
YTUX6371301,LRBX,TS,change,2023,23,8D,8,6,3,8D,,,,999,F,22,258,2023-04-06 09:35:52
PAYD8927875,XQHP,TS,change,2023,21,8B,3,5,2,8B,,,,999,F,45,256,2023-04-06 09:38:28
DQRQ5448406,LRBX,TS,change,2023,23,8D,8,6,2,8D,,,,999,F,22,258,2023-04-06 09:38:55
YPQK2456489,RZSG,VU,load,2023,29,7D,11,0,0,7D,,,,346,F,22,254,2023-04-06 09:37:38
OYWK9346460,RZSG,VU,load,2023,29,7C,23,0,0,7C,,,,310,F,45,253,2023-04-06 09:39:25
QAOA4581389,JTRC,GD,unload,2023,15,7A,19,3,4,7A,,,,999,F,45,251,2023-04-06 09:38:28
OPTK0132804,CBPR,TS,change,2023,16,8C,4,8,3,8C,,,,999,F,22,257,2023-04-06 09:37:20
OPTK0132804,CBPR,TS,change,2023,16,8C,4,5,2,8C,,,,999,F,22,257,2023-04-06 09:38:03
FFJY0453226,GNOR,GD,unload,2023,16,8C,4,8,2,8C,,,,999,F,22,257,2023-04-06 09:43:05
MTAR8773859,RZSG,VU,load,2023,29,8A,15,0,0,8A,,,,349,F,45,255,2023-04-06 09:39:11
GWGA3759041,YZCI,TS,change,2023,19,8D,8,6,1,8D,,,,999,F,22,258,2023-04-06 09:39:43
PKLA3047187,YOSU,TS,change,2023,17,7D,32,7,3,7D,,,,999,F,22,254,2023-04-06 09:41:43
IZIP2195211,TWYM,GD,unload,2023,14,8D,13,6,2,8D,,,,999,F,22,258,2023-04-06 09:42:49
VWIJ5177191,UXAF,GD,unload,2023,15,8C,10,3,3,8C,,,,999,F,22,257,2023-04-06 09:42:04
RPVJ9866307,YOSU,TS,change,2023,17,7D,32,7,2,7D,,,,999,F,22,254,2023-04-06 09:51:15
OHQX0036973,JIAP,TS,change,2023,23,7C,9,7,5,7C,,,,999,F,45,253,2023-04-06 09:43:20
RONN2887829,TPCT,TS,change,2023,22,7A,7,1,3,7A,,,,999,F,45,251,2023-04-06 09:43:53
YCTI5691142,TWYM,TS,change,2023,15,7C,9,7,4,7C,,,,999,F,45,253,2023-04-06 09:45:20
FJRN5682199,YOSU,GD,unload,2023,17,7D,32,7,1,7D,,,,999,F,22,254,2023-04-06 09:45:30
VWKU8810089,YOSU,TS,change,2023,17,7D,32,4,3,7D,,,,999,F,22,254,2023-04-06 09:47:32
KMGB4259132,YZCI,TS,change,2023,19,7A,7,1,2,7A,,,,999,F,45,251,2023-04-06 09:51:07
CKXI5767397,SDIH,TS,change,2023,25,7C,9,7,3,7C,,,,999,F,45,253,2023-04-06 09:46:35
SAVT0591893,TWYM,TS,change,2023,15,7D,31,4,3,7D,,,,999,F,22,254,2023-04-06 09:47:39
DOBB2842043,RMOD,TS,change,2023,14,7A,7,3,4,7A,,,,999,F,45,251,2023-04-06 09:48:22
FUXB0089203,VXUR,TS,change,2023,16,7C,9,7,2,7C,,,,999,F,45,253,2023-04-06 09:47:25
EZHX2476808,UXAF,VU,load,2023,15,8B,3,0,0,8B,,,,387,F,45,256,2023-04-06 09:49:31
KXYW4771723,GNOR,GD,unload,2023,16,7D,31,4,2,7D,,,,999,F,22,254,2023-04-06 09:50:36
GYXP7787877,PNFY,TS,change,2023,20,7A,7,3,3,7A,,,,999,F,45,251,2023-04-06 09:50:29
BRGZ0071206,JXQD,TS,change,2023,12,8D,13,9,3,8D,,,,999,F,22,258,2023-04-06 09:51:22
BLTA3309020,IYDE,TS,change,2023,12,7C,9,7,1,7C,,,,999,F,45,253,2023-04-06 09:49:51
MZXZ8251175,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,303,F,45,255,2023-04-06 09:53:12
DMTO5925170,RZSG,VU,load,2023,29,8D,13,0,0,8D,,,,311,F,22,258,2023-04-06 09:50:32
BRGZ0071206,JXQD,TS,change,2023,12,8D,13,5,1,8D,,,,999,F,22,258,2023-04-06 09:51:02
WDCP2767361,SSFG,TS,change,2023,23,7D,31,7,1,7D,,,,999,F,22,254,2023-04-06 09:52:05
DMTO5925170,RZSG,TS,change,2023,29,8D,13,5,5,8D,,,,999,F,22,258,2023-04-06 09:54:39
HHER4597434,JKPF,TS,change,2023,17,7C,7,9,3,7C,,,,999,F,45,253,2023-04-06 09:53:53
BRGZ0071206,JXQD,GD,unload,2023,12,8D,13,6,5,8D,,,,999,F,22,258,2023-04-06 09:53:46
QFXB7894160,UXAF,VU,load,2023,15,7B,9,0,0,7B,,,,395,F,45,252,2023-04-06 09:55:09
HRWP3527453,UXAF,VU,load,2023,15,8B,3,0,0,8B,,,,397,F,45,256,2023-04-06 09:55:36
DYUG0004242,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,390,F,45,255,2023-04-06 09:56:04
UMDX8649124,AMXM,GD,unload,2023,15,7C,7,9,2,7C,,,,999,F,45,253,2023-04-06 09:57:23
MPXS5982117,RZSG,VU,load,2023,29,8C,10,0,0,8C,,,,350,F,22,257,2023-04-06 09:58:54
YQEN9856439,HXSD,GD,unload,2023,15,7D,12,3,1,7D,,,,999,F,22,254,2023-04-06 09:59:05
ZGQA7413043,XQHP,TS,change,2023,21,7D,12,5,1,7D,,,,999,F,22,254,2023-04-06 09:59:23
XPNI5828320,RZSG,VU,load,2023,29,8D,1,0,0,8D,,,,396,F,22,258,2023-04-06 09:57:57
XXUP0886563,AMXM,GD,unload,2023,15,7A,11,4,3,7A,,,,999,F,45,251,2023-04-06 10:00:06
ATZI3804121,RZSG,VU,load,2023,29,8D,2,0,0,8D,,,,396,F,22,258,2023-04-06 10:00:39
WJCH4734309,SLVN,TS,change,2023,23,7B,25,8,4,7B,,,,999,F,45,252,2023-04-06 10:01:06
WQNG5175996,TWYM,TS,change,2023,15,7C,13,8,2,7C,,,,999,F,45,253,2023-04-06 10:02:59
UUTL0022743,RZSG,VU,load,2023,29,8D,1,0,0,8D,,,,331,F,22,258,2023-04-06 10:02:42
LIOV0691895,RZSG,VU,load,2023,29,8D,2,0,0,8D,,,,331,F,22,258,2023-04-06 10:03:21
XMKX3283132,TWYM,TS,change,2023,15,7C,13,7,5,7C,,,,999,F,45,253,2023-04-06 10:03:12
LCHB4838717,NJLM,TS,change,2023,39,8B,3,2,4,8B,,,,999,F,45,256,2023-04-06 10:03:02
XNUY0275561,MDHF,TS,change,2023,25,7C,13,7,4,7C,,,,999,F,45,253,2023-04-06 10:06:00
YNWG8820121,UKVE,GD,unload,2023,18,7B,27,5,4,7B,,,,999,F,45,252,2023-04-06 10:04:38
QFLE6041764,ODLQ,TS,change,2023,29,7A,15,6,5,7A,,,,999,F,45,251,2023-04-06 10:05:50
YRBK7967289,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,379,F,22,254,2023-04-06 10:05:29
LWYR6417661,UXAF,VU,load,2023,15,8D,1,0,0,8D,,,,389,F,22,258,2023-04-06 10:05:31
OXNN6065810,UXAF,VU,load,2023,15,8C,5,0,0,8C,,,,345,F,22,257,2023-04-06 10:04:35
GXKM7705325,UXAF,VU,load,2023,15,8D,2,0,0,8D,,,,389,F,22,258,2023-04-06 10:06:02
TXUV1564511,UXAF,VU,load,2023,15,8C,4,0,0,8C,,,,345,F,22,257,2023-04-06 10:05:43
DETH2982383,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,379,F,22,254,2023-04-06 10:06:29
YRBK7967289,UXAF,TS,change,2023,15,7D,11,1,1,7D,,,,999,F,22,254,2023-04-06 10:06:50
DETH2982383,UXAF,TS,change,2023,15,7D,11,1,2,7D,,,,999,F,22,254,2023-04-06 10:06:28
AGBK3687295,SSFG,GD,unload,2023,23,8A,19,4,5,8A,,,,999,F,45,255,2023-04-06 10:07:11
QSZX0268099,NULK,TS,change,2023,15,7A,15,6,4,7A,,,,999,F,45,251,2023-04-06 10:06:30
FGZU2623473,UXAF,VU,load,2023,15,7D,11,0,0,7D,,,,393,F,22,254,2023-04-06 10:07:03
INBT8462307,UXAF,VU,load,2023,15,7D,12,0,0,7D,,,,393,F,22,254,2023-04-06 10:08:12
PAYD8927875,XQHP,GD,unload,2023,21,8B,3,3,5,8B,,,,999,F,45,256,2023-04-06 10:07:35
OSJA2656852,JTRC,TS,change,2023,15,7A,15,6,3,7A,,,,999,F,45,251,2023-04-06 10:08:27
GTSW1934722,SDIH,VL,unload,2023,27,7B,15,4,5,7B,,,,330,F,45,252,2023-04-06 10:10:18
IXTO8315888,RZSG,VU,load,2023,29,7C,9,0,0,7C,,,,331,F,43,253,2023-04-06 10:09:43
IWNX8095329,UXAF,VU,load,2023,15,8D,6,0,0,8D,,,,395,F,22,258,2023-04-06 10:08:31
OHPK3727826,UXAF,VU,load,2023,15,8D,7,0,0,8D,,,,395,F,22,258,2023-04-06 10:08:43
ULGG4075047,YOSU,GD,unload,2023,17,7A,15,6,2,7A,,,,999,F,45,251,2023-04-06 10:17:19
VJHR6603858,SSFG,TS,change,2023,23,7B,15,4,4,7B,,,,999,F,45,252,2023-04-06 10:10:12
HLMW9455812,QSAT,VL,unload,2023,30,7D,28,4,1,7D,,,,385,F,22,254,2023-04-06 10:11:45
WLSB9036138,ORGJ,GD,unload,2023,23,8B,3,2,3,8B,,,,999,F,45,256,2023-04-06 10:13:32
BFJZ6821233,UXAF,VU,load,2023,15,8C,5,0,0,8C,,,,397,F,22,257,2023-04-06 10:12:29
JZYF1556411,QSAT,VL,unload,2023,30,8D,15,7,3,8D,,,,366,F,22,258,2023-04-06 10:15:52
XVWQ4075421,UXAF,VU,load,2023,15,8C,4,0,0,8C,,,,397,F,22,257,2023-04-06 10:11:53
SXUY2646762,SSFG,TS,change,2023,23,7B,15,4,3,7B,,,,999,F,45,252,2023-04-06 10:13:34
FGGL7610433,RZSG,VU,load,2023,29,8A,19,0,0,8A,,,,331,F,45,255,2023-04-06 10:12:24
HBAQ7408317,APTB,TS,change,2023,18,7C,31,8,4,7C,,,,999,F,45,253,2023-04-06 10:12:55
AVKA3443329,UXAF,VU,load,2023,15,8C,5,0,0,8C,,,,396,F,22,257,2023-04-06 10:15:44
WAUG4385410,UXAF,VU,load,2023,15,8C,4,0,0,8C,,,,396,F,22,257,2023-04-06 10:15:29
XLVE3688715,QSAT,VL,unload,2023,30,8D,27,6,2,8D,,,,366,F,22,258,2023-04-06 10:15:44
RBNP0331122,SDIH,VL,unload,2023,27,7D,11,9,2,7D,,,,315,F,22,254,2023-04-06 10:15:37
KJNT4518933,RMOD,TS,change,2023,14,8B,21,7,5,8B,,,,999,F,45,256,2023-04-06 10:15:00
MIXT3370779,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,390,F,45,255,2023-04-06 10:18:00
RRRD4629006,QSAT,VL,unload,2023,30,8D,31,8,2,8D,,,,301,F,22,258,2023-04-06 10:18:46
BEFS2667914,PZNB,GD,unload,2023,22,8B,21,8,5,8B,,,,999,F,44,256,2023-04-06 10:18:21
UHTT0969389,YOSU,TS,change,2023,17,7D,7,8,2,7D,,,,999,F,22,254,2023-04-06 10:17:06
NIOX3588369,UXAF,VU,load,2023,15,7B,15,0,0,7B,,,,379,F,45,252,2023-04-06 10:18:29
VKOZ0265345,MDHF,TS,change,2023,25,7A,21,5,5,7A,,,,999,F,45,251,2023-04-06 10:18:51
IDHB2977154,RZSG,VU,load,2023,29,7C,31,0,0,7C,,,,311,F,45,253,2023-04-06 10:20:17
JJDU0299574,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,394,F,43,255,2023-04-06 10:24:07
DQKF1045968,GNOR,GD,unload,2023,16,8C,26,7,4,8C,,,,999,F,22,257,2023-04-06 10:19:45
MDIR2339409,YOSU,GD,unload,2023,17,7D,7,8,1,7D,,,,999,F,22,254,2023-04-06 10:20:00
YNMY1975276,RZSG,TS,change,2023,28,7A,21,5,4,7A,,,,999,F,45,251,2023-04-06 10:20:05
NRGV3071649,TWYM,GD,unload,2023,15,8D,28,4,1,8D,,,,999,F,22,258,2023-04-06 10:21:27
AJUN2635356,UXAF,VU,load,2023,15,8B,21,0,0,8B,,,,397,F,45,256,2023-04-06 10:23:02
RCMR5732779,RZSG,TS,change,2023,28,7A,21,5,3,7A,,,,999,F,45,251,2023-04-06 10:20:53
PCPP5447034,UXAF,VU,load,2023,15,7B,15,0,0,7B,,,,387,F,45,252,2023-04-06 10:22:05
ARRO3454169,UXAF,VU,load,2023,15,7D,8,0,0,7D,,,,393,F,22,254,2023-04-06 10:24:32
JWTW9518227,UXAF,VU,load,2023,15,7D,7,0,0,7D,,,,355,F,22,254,2023-04-06 10:22:17
WJQX5219178,VXUR,TS,change,2023,16,7A,21,5,2,7A,,,,999,F,45,251,2023-04-06 10:23:25
ZEOR3276451,YOSU,TS,change,2023,17,8C,22,1,3,8C,,,,999,F,22,257,2023-04-06 10:23:55
EKHJ9743953,TDJI,TS,change,2023,16,7B,13,8,3,7B,,,,999,F,45,252,2023-04-06 10:24:40
CWYW1275059,HVRS,GD,unload,2023,16,8B,9,2,5,8B,,,,999,F,45,256,2023-04-06 10:25:56
MNRW8100879,MGBO,GD,unload,2023,14,7A,21,5,1,7A,,,,999,F,45,251,2023-04-06 10:25:03
JQWY9237284,YOSU,GD,unload,2023,17,8C,22,1,2,8C,,,,999,F,22,257,2023-04-06 10:25:27
AYLQ4427440,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,379,F,45,255,2023-04-06 10:27:31
JFSX4379545,UXAF,VU,load,2023,15,8D,3,0,0,8D,,,,395,F,22,258,2023-04-06 10:26:11
RFUG0020518,TYWJ,GD,unload,2023,15,7B,13,8,2,7B,,,,999,F,43,252,2023-04-06 10:27:54
KOCF1317549,UXAF,VU,load,2023,15,7D,7,0,0,7D,,,,344,F,22,254,2023-04-06 10:30:11
LMQL2079346,UXAF,VU,load,2023,15,7D,8,0,0,7D,,,,344,F,22,254,2023-04-06 10:28:17
LFBL6280151,UXAF,VU,load,2023,15,8D,3,0,0,8D,,,,395,F,22,258,2023-04-06 10:30:12
QJRX8334822,YOSU,TS,change,2023,17,8C,22,6,2,8C,,,,999,F,22,257,2023-04-06 10:33:27
MWVY9073622,UXAF,GD,unload,2023,15,8B,1,4,4,8B,,,,999,F,45,256,2023-04-06 10:30:30
CRND9008246,YOSU,GD,unload,2023,17,8C,22,6,1,8C,,,,999,F,22,257,2023-04-06 10:33:07
FTCE9719393,UXAF,VU,load,2023,15,8A,15,0,0,8A,,,,387,F,45,255,2023-04-06 10:31:17
ACNF4843725,SSFG,GD,unload,2023,23,8D,3,8,3,8D,,,,999,F,22,258,2023-04-06 10:31:13
CDSA9695181,ODLQ,GD,unload,2023,29,7A,29,2,4,7A,,,,999,F,45,251,2023-04-06 10:32:29
CWPY9790931,TPCT,GD,unload,2023,22,7B,19,5,3,7B,,,,999,F,45,252,2023-04-06 10:32:16
FADO6897382,UXAF,VU,load,2023,15,7C,31,0,0,7C,,,,398,F,45,253,2023-04-06 10:38:09
KRDI3868934,UXAF,VU,load,2023,15,8B,3,0,0,8B,,,,390,F,45,256,2023-04-06 10:34:29
BNIO1723353,UXAF,VU,load,2023,15,7D,8,0,0,7D,,,,388,F,22,254,2023-04-06 10:34:03
OYGP7123984,UXAF,VU,load,2023,15,7D,7,0,0,7D,,,,388,F,22,254,2023-04-06 10:34:23
